au_number,au_code,au_name,paper_face_region,paper_expression_categories,fea_names,fea_api_ids_0based,fea_count,mapping_status,mapping_basis,notes,source_ids
1,AU1,Inner Brow Raiser,upper,Fear | Sadness | Surprise,InnerBrowRaiserL | InnerBrowRaiserR,22 | 23,2,direct_semantic_correspondence,"paper AU membership from current Table 1; FEA link is a semantic crosswalk, not a validated AU measurement",,paper_table_facs_2002 | meta_face_tracking_guide | openxr_xrfaceexpressionfb | cohn_ambadar_ekman_2007
2,AU2,Outer Brow Raiser,upper,Fear | Surprise,OuterBrowRaiserL | OuterBrowRaiserR,57 | 58,2,direct_semantic_correspondence,"paper AU membership from current Table 1; FEA link is a semantic crosswalk, not a validated AU measurement",,paper_table_facs_2002 | meta_face_tracking_guide | openxr_xrfaceexpressionfb | cohn_ambadar_ekman_2007
4,AU4,Brow Lowerer,upper,Anger | Fear | Sadness,BrowLowererL | BrowLowererR,0 | 1,2,direct_semantic_correspondence,"paper AU membership from current Table 1; FEA link is a semantic crosswalk, not a validated AU measurement",,paper_table_facs_2002 | meta_face_tracking_guide | openxr_xrfaceexpressionfb | cohn_ambadar_ekman_2007
5,AU5,Upper Lid Raiser,upper,Anger | Fear | Surprise,UpperLidRaiserL | UpperLidRaiserR,59 | 60,2,direct_semantic_correspondence,"paper AU membership from current Table 1; FEA link is a semantic crosswalk, not a validated AU measurement",,paper_table_facs_2002 | meta_face_tracking_guide | openxr_xrfaceexpressionfb | cohn_ambadar_ekman_2007
6,AU6,Cheek Raiser,upper,Happiness | Sadness,CheekRaiserL | CheekRaiserR,4 | 5,2,direct_semantic_correspondence,"paper AU membership from current Table 1; FEA link is a semantic crosswalk, not a validated AU measurement",,paper_table_facs_2002 | meta_face_tracking_guide | openxr_xrfaceexpressionfb | cohn_ambadar_ekman_2007
7,AU7,Lid Tightener,upper,Anger,LidTightenerL | LidTightenerR,28 | 29,2,direct_semantic_correspondence,"paper AU membership from current Table 1; FEA link is a semantic crosswalk, not a validated AU measurement",,paper_table_facs_2002 | meta_face_tracking_guide | openxr_xrfaceexpressionfb | cohn_ambadar_ekman_2007
9,AU9,Nose Wrinkler,lower,Disgust,NoseWrinklerL | NoseWrinklerR,55 | 56,2,direct_semantic_correspondence,"paper AU membership from current Table 1; FEA link is a semantic crosswalk, not a validated AU measurement",,paper_table_facs_2002 | meta_face_tracking_guide | openxr_xrfaceexpressionfb | cohn_ambadar_ekman_2007
10,AU10,Upper Lip Raiser,lower,Anger | Disgust,UpperLipRaiserL | UpperLipRaiserR,61 | 62,2,direct_semantic_correspondence,"paper AU membership from current Table 1; FEA link is a semantic crosswalk, not a validated AU measurement",,paper_table_facs_2002 | meta_face_tracking_guide | openxr_xrfaceexpressionfb | cohn_ambadar_ekman_2007
12,AU12,Lip Corner Puller,lower,Happiness,LipCornerPullerL | LipCornerPullerR,32 | 33,2,direct_semantic_correspondence,"paper AU membership from current Table 1; FEA link is a semantic crosswalk, not a validated AU measurement",,paper_table_facs_2002 | meta_face_tracking_guide | openxr_xrfaceexpressionfb | cohn_ambadar_ekman_2007
15,AU15,Lip Corner Depressor,lower,Disgust | Sadness,LipCornerDepressorL | LipCornerDepressorR,30 | 31,2,direct_semantic_correspondence,"paper AU membership from current Table 1; FEA link is a semantic crosswalk, not a validated AU measurement",,paper_table_facs_2002 | meta_face_tracking_guide | openxr_xrfaceexpressionfb | cohn_ambadar_ekman_2007
