reenactment_id,split,sequence_timestamp,participant_id,level_id,emoji_id,true_label_id,true_label,image,target_emotion,model_probability,label_1,label_2,label_3,success_labeler_1,success_labeler_2,success_labeler_3,agreement,include_in_dataset
1700478995850-2-1-1-0-0,test,1700478995850,1,1,0,0,Anger,1700478995850.png,Anger,0.512,Anger,Anger,Anger,1,1,1,3,1
1700478998549-2-1-1-1-5,test,1700478998549,1,1,1,5,Sadness,1700478998549.png,Sadness,0.919,Sadness,Sadness,Sadness,1,1,1,3,1
1700479001137-2-1-1-2-3,test,1700479001137,1,1,2,3,Happiness,1700479001137.png,Happiness,0.8944,Happiness,Happiness,Happiness,1,1,1,3,1
1700479004312-2-1-1-3-0,test,1700479004312,1,1,3,0,Anger,1700479004312.png,Anger,0.3751,Neutral,Anger,Anger,0,1,1,2,1
1700479005401-2-1-1-4-0,test,1700479005401,1,1,4,0,Anger,1700479005401.png,Anger,0.4215,Anger,Anger,Anger,1,1,1,3,1
1700479007738-2-1-1-5-5,test,1700479007738,1,1,5,5,Sadness,1700479007738.png,Sadness,0.611,Sadness,Sadness,Sadness,1,1,1,3,1
1700479015441-2-1-1-8-3,test,1700479015441,1,1,8,3,Happiness,1700479015441.png,Happiness,0.8438,Happiness,Happiness,Happiness,1,1,1,3,1
1700479105264-2-1-2-0-4,test,1700479105264,1,2,0,4,Neutral,1700479105264.png,Neutral,0.4612,Neutral,Neutral,Neutral,1,1,1,3,1
1700479106931-2-1-2-1-1,test,1700479106931,1,2,1,1,Disgust,1700479106931.png,Disgust,0.774,Sadness,Disgust,Disgust,0,1,1,2,1
1700479111705-2-1-2-3-2,test,1700479111705,1,2,3,2,Fear,1700479111705.png,Fear,0.8795,Fear,Fear,Fear,1,1,1,3,1
1700479113933-2-1-2-4-1,test,1700479113933,1,2,4,1,Disgust,1700479113933.png,Disgust,0.856,Disgust,Disgust,Disgust,1,1,1,3,1
1700479117593-2-1-2-5-1,test,1700479117593,1,2,5,1,Disgust,1700479117593.png,Disgust,0.9425,Fear,Disgust,Disgust,0,1,1,2,1
1700479119890-2-1-2-6-2,test,1700479119890,1,2,6,2,Fear,1700479119890.png,Fear,0.6691,Surprise,Fear,Fear,0,1,1,2,1
1700479129747-2-1-2-10-2,test,1700479129747,1,2,10,2,Fear,1700479129747.png,Fear,0.6894,Fear,Fear,Fear,1,1,1,3,1
1700479131977-2-1-2-11-4,test,1700479131977,1,2,11,4,Neutral,1700479131977.png,Neutral,0.5645,Neutral,Neutral,Neutral,1,1,1,3,1
1700479238544-2-1-3-0-4,test,1700479238544,1,3,0,4,Neutral,1700479238544.png,Neutral,0.4547,Neutral,Neutral,Neutral,1,1,1,3,1
1700479240547-2-1-3-1-1,test,1700479240547,1,3,1,1,Disgust,1700479240547.png,Disgust,0.9438,Disgust,Disgust,Disgust,1,1,1,3,1
1700479243878-2-1-3-3-6,test,1700479243878,1,3,3,6,Surprise,1700479243878.png,Surprise,0.9647,Surprise,Surprise,Surprise,1,1,1,3,1
1700479245714-2-1-3-4-3,test,1700479245714,1,3,4,3,Happiness,1700479245714.png,Happiness,0.9756,Happiness,Happiness,Happiness,1,1,1,3,1
1700479248151-2-1-3-5-2,test,1700479248151,1,3,5,2,Fear,1700479248151.png,Fear,0.9072,Surprise,Fear,Fear,0,1,1,2,1
1700479250572-2-1-3-6-5,test,1700479250572,1,3,6,5,Sadness,1700479250572.png,Sadness,0.7413,Disgust,Sadness,Sadness,0,1,1,2,1
1700479253441-2-1-3-8-0,test,1700479253441,1,3,8,0,Anger,1700479253441.png,Anger,0.4169,Neutral,Anger,Anger,0,1,1,2,1
1700479258342-2-1-3-10-0,test,1700479258342,1,3,10,0,Anger,1700479258342.png,Anger,0.4556,Anger,Anger,Anger,1,1,1,3,1
1700479260806-2-1-3-11-3,test,1700479260806,1,3,11,3,Happiness,1700479260806.png,Happiness,0.9854,Happiness,Happiness,Happiness,1,1,1,3,1
1700479262241-2-1-3-12-4,test,1700479262241,1,3,12,4,Neutral,1700479262241.png,Neutral,0.4445,Happiness,Neutral,Neutral,0,1,1,2,1
1700479264139-2-1-3-13-6,test,1700479264139,1,3,13,6,Surprise,1700479264139.png,Surprise,0.9011,Surprise,Surprise,Surprise,1,1,1,3,1
1700479265444-2-1-3-14-4,test,1700479265444,1,3,14,4,Neutral,1700479265444.png,Neutral,0.4287,Neutral,Neutral,Neutral,1,1,1,3,1
1700479274174-2-1-3-18-1,test,1700479274174,1,3,18,1,Disgust,1700479274174.png,Disgust,0.9317,Disgust,Disgust,Fear,1,1,0,2,1
1700479276498-2-1-3-19-6,test,1700479276498,1,3,19,6,Surprise,1700479276498.png,Surprise,0.9553,Surprise,Surprise,Surprise,1,1,1,3,1
1700479278671-2-1-3-20-2,test,1700479278671,1,3,20,2,Fear,1700479278671.png,Fear,0.9294,Fear,Fear,Fear,1,1,1,3,1
1700479411435-2-1-4-0-1,test,1700479411435,1,4,0,1,Disgust,1700479411435.png,Disgust,0.7339,Disgust,Disgust,Fear,1,1,0,2,1
1700479413527-2-1-4-1-5,test,1700479413527,1,4,1,5,Sadness,1700479413527.png,Sadness,0.7596,Sadness,Sadness,Sadness,1,1,1,3,1
1700479417615-2-1-4-3-6,test,1700479417615,1,4,3,6,Surprise,1700479417615.png,Surprise,0.9308,Surprise,Surprise,Surprise,1,1,1,3,1
1700479420641-2-1-4-5-4,test,1700479420641,1,4,5,4,Neutral,1700479420641.png,Neutral,0.5704,Neutral,Neutral,Neutral,1,1,1,3,1
1700479422411-2-1-4-6-3,test,1700479422411,1,4,6,3,Happiness,1700479422411.png,Happiness,0.9264,Happiness,Happiness,Happiness,1,1,1,3,1
1700479424021-2-1-4-7-0,test,1700479424021,1,4,7,0,Anger,1700479424021.png,Anger,0.4108,Anger,Anger,Anger,1,1,1,3,1
1700479426367-2-1-4-8-5,test,1700479426367,1,4,8,5,Sadness,1700479426367.png,Sadness,0.8751,Sadness,Sadness,Sadness,1,1,1,3,1
1700479427742-2-1-4-9-2,test,1700479427742,1,4,9,2,Fear,1700479427742.png,Fear,0.9044,Surprise,Fear,Fear,0,1,1,2,1
1700479432977-2-1-4-12-1,test,1700479432977,1,4,12,1,Disgust,1700479432977.png,Disgust,0.8913,Disgust,Disgust,Disgust,1,1,1,3,1
1700479435090-2-1-4-13-3,test,1700479435090,1,4,13,3,Happiness,1700479435090.png,Happiness,0.9833,Happiness,Happiness,Happiness,1,1,1,3,1
1700479438658-2-1-4-15-1,test,1700479438658,1,4,15,1,Disgust,1700479438658.png,Disgust,0.9621,Disgust,Disgust,Disgust,1,1,1,3,1
1700479442178-2-1-4-17-5,test,1700479442178,1,4,17,5,Sadness,1700479442178.png,Sadness,0.8156,Sadness,Sadness,Sadness,1,1,1,3,1
1700479445256-2-1-4-19-6,test,1700479445256,1,4,19,6,Surprise,1700479445256.png,Surprise,0.9371,Surprise,Surprise,Surprise,1,1,1,3,1
1700479447373-2-1-4-20-5,test,1700479447373,1,4,20,5,Sadness,1700479447373.png,Sadness,0.9497,Sadness,Sadness,Sadness,1,1,1,3,1
1700479452800-2-1-4-23-2,test,1700479452800,1,4,23,2,Fear,1700479452800.png,Fear,0.6041,Fear,Fear,Fear,1,1,1,3,1
1700479457287-2-1-4-26-1,test,1700479457287,1,4,26,1,Disgust,1700479457287.png,Disgust,0.9046,Disgust,Disgust,Fear,1,1,0,2,1
1700479459026-2-1-4-27-6,test,1700479459026,1,4,27,6,Surprise,1700479459026.png,Surprise,0.9008,Surprise,Surprise,Surprise,1,1,1,3,1
1700485979873-1-2-1-1-5,validation,1700485979873,2,1,1,5,Sadness,1700485979873.png,Sadness,0.3388,Sadness,Sadness,Sadness,1,1,1,3,1
1700485984070-1-2-1-3-0,validation,1700485984070,2,1,3,0,Anger,1700485984070.png,Anger,0.5736,Anger,Anger,Anger,1,1,1,3,1
1700485986655-1-2-1-4-0,validation,1700485986655,2,1,4,0,Anger,1700485986655.png,Anger,0.5831,Anger,Anger,Anger,1,1,1,3,1
1700485989602-1-2-1-5-5,validation,1700485989602,2,1,5,5,Sadness,1700485989602.png,Sadness,0.3472,Sadness,Sadness,Sadness,1,1,1,3,1
1700485991927-1-2-1-6-3,validation,1700485991927,2,1,6,3,Happiness,1700485991927.png,Happiness,0.9649,Happiness,Happiness,Happiness,1,1,1,3,1
1700486071119-1-2-2-0-4,validation,1700486071119,2,2,0,4,Neutral,1700486071119.png,Neutral,0.5081,Neutral,Neutral,Neutral,1,1,1,3,1
1700486073568-1-2-2-1-1,validation,1700486073568,2,2,1,1,Disgust,1700486073568.png,Disgust,0.6661,Disgust,Disgust,Disgust,1,1,1,3,1
1700486081556-1-2-2-4-1,validation,1700486081556,2,2,4,1,Disgust,1700486081556.png,Disgust,0.8514,Disgust,Disgust,Disgust,1,1,1,3,1
1700486083662-1-2-2-5-1,validation,1700486083662,2,2,5,1,Disgust,1700486083662.png,Disgust,0.864,Disgust,Disgust,Disgust,1,1,1,3,1
1700486089327-1-2-2-7-4,validation,1700486089327,2,2,7,4,Neutral,1700486089327.png,Neutral,0.4498,Neutral,Neutral,Neutral,1,1,1,3,1
1700486090956-1-2-2-8-6,validation,1700486090956,2,2,8,6,Surprise,1700486090956.png,Surprise,0.8636,Surprise,Surprise,Surprise,1,1,1,3,1
1700486093754-1-2-2-9-6,validation,1700486093754,2,2,9,6,Surprise,1700486093754.png,Surprise,0.8552,Surprise,Surprise,Surprise,1,1,1,3,1
1700486096508-1-2-2-10-2,validation,1700486096508,2,2,10,2,Fear,1700486096508.png,Fear,0.5932,Surprise,Fear,Fear,0,1,1,2,1
1700486098069-1-2-2-11-4,validation,1700486098069,2,2,11,4,Neutral,1700486098069.png,Neutral,0.4747,Neutral,Neutral,Neutral,1,1,1,3,1
1700486192396-1-2-3-1-1,validation,1700486192396,2,3,1,1,Disgust,1700486192396.png,Disgust,0.7575,Disgust,Disgust,Disgust,1,1,1,3,1
1700486194530-1-2-3-2-0,validation,1700486194530,2,3,2,0,Anger,1700486194530.png,Anger,0.5417,Sadness,Anger,Anger,0,1,1,2,1
1700486196174-1-2-3-3-6,validation,1700486196174,2,3,3,6,Surprise,1700486196174.png,Surprise,0.9387,Surprise,Fear,Surprise,1,0,1,2,1
1700486200867-1-2-3-5-2,validation,1700486200867,2,3,5,2,Fear,1700486200867.png,Fear,0.5603,Surprise,Fear,Fear,0,1,1,2,1
1700486202703-1-2-3-6-5,validation,1700486202703,2,3,6,5,Sadness,1700486202703.png,Sadness,0.2971,Sadness,Sadness,Sadness,1,1,1,3,1
