sequence_id,sample_id,reenactment_id,sequence_timestamp,set_id,participant_id,level_id,emoji_id,camera_index,perspective,image_sequence_path,timestep,frame_timestamp,frame_path,true_class_id,true_class,predicted_class_id,predicted_class,true_class_probability,predicted_class_probability,correct_at_timestep,correct_final_prediction,probability_anger,probability_disgust,probability_fear,probability_happiness,probability_neutral,probability_sadness,probability_surprise
1700478995850-2-1-1-0-0-0,1700478995850-2-1-1-0-0-0-01,1700478995850-2-1-1-0-0,1700478995850,2,1,1,0,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700478995850-2-1-1-0-0-0,1,1700478994882,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700478995850-2-1-1-0-0-0/1700478994882-2-1-1-0-0-0.jpg,0,Anger,0,Anger,0.37192813,0.37192813,True,True,0.37192813,0.2520481,0.040216696,0.034442957,0.028400848,0.24229817,0.030665144
1700478995850-2-1-1-0-0-1,1700478995850-2-1-1-0-0-1-01,1700478995850-2-1-1-0-0,1700478995850,2,1,1,0,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700478995850-2-1-1-0-0-1,1,1700478994882,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700478995850-2-1-1-0-0-1/1700478994882-2-1-1-0-0-1.jpg,0,Anger,0,Anger,0.43405178,0.43405178,True,False,0.43405178,0.25453767,0.043218393,0.029462198,0.024229465,0.18630503,0.028195387
1700478998549-2-1-1-1-5-0,1700478998549-2-1-1-1-5-0-01,1700478998549-2-1-1-1-5,1700478998549,2,1,1,1,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Sadness/1700478998549-2-1-1-1-5-0,1,1700478997506,/workspace/datasets/emoji-hero-vr-db-di/test_set/Sadness/1700478998549-2-1-1-1-5-0/1700478997506-2-1-1-1-5-0.jpg,5,Sadness,5,Sadness,0.8379163,0.8379163,True,True,0.058572378,0.051461533,0.008354893,0.009758302,0.02500051,0.8379163,0.008936077
1700478998549-2-1-1-1-5-1,1700478998549-2-1-1-1-5-1-01,1700478998549-2-1-1-1-5,1700478998549,2,1,1,1,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Sadness/1700478998549-2-1-1-1-5-1,1,1700478997506,/workspace/datasets/emoji-hero-vr-db-di/test_set/Sadness/1700478998549-2-1-1-1-5-1/1700478997506-2-1-1-1-5-1.jpg,5,Sadness,5,Sadness,0.7844067,0.7844067,True,True,0.059031762,0.09663718,0.01239614,0.010826716,0.023430826,0.7844067,0.013270638
1700479001137-2-1-1-2-3-0,1700479001137-2-1-1-2-3-0-01,1700479001137-2-1-1-2-3,1700479001137,2,1,1,2,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Happiness/1700479001137-2-1-1-2-3-0,1,1700479000163,/workspace/datasets/emoji-hero-vr-db-di/test_set/Happiness/1700479001137-2-1-1-2-3-0/1700479000163-2-1-1-2-3-0.jpg,3,Happiness,3,Happiness,0.8878008,0.8878008,True,True,0.019965444,0.025926245,0.020062558,0.8878008,0.027935531,0.011436295,0.006873077
1700479001137-2-1-1-2-3-1,1700479001137-2-1-1-2-3-1-01,1700479001137-2-1-1-2-3,1700479001137,2,1,1,2,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Happiness/1700479001137-2-1-1-2-3-1,1,1700479000163,/workspace/datasets/emoji-hero-vr-db-di/test_set/Happiness/1700479001137-2-1-1-2-3-1/1700479000163-2-1-1-2-3-1.jpg,3,Happiness,3,Happiness,0.47770196,0.47770196,True,False,0.04680725,0.10433192,0.2205053,0.47770196,0.05571533,0.0255946,0.06934363
1700479004312-2-1-1-3-0-0,1700479004312-2-1-1-3-0-0-01,1700479004312-2-1-1-3-0,1700479004312,2,1,1,3,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700479004312-2-1-1-3-0-0,1,1700479003340,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700479004312-2-1-1-3-0-0/1700479003340-2-1-1-3-0-0.jpg,0,Anger,0,Anger,0.67670554,0.67670554,True,False,0.67670554,0.12714596,0.0237989,0.026668474,0.01812204,0.11086167,0.016697442
1700479004312-2-1-1-3-0-1,1700479004312-2-1-1-3-0-1-01,1700479004312-2-1-1-3-0,1700479004312,2,1,1,3,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700479004312-2-1-1-3-0-1,1,1700479003340,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700479004312-2-1-1-3-0-1/1700479003340-2-1-1-3-0-1.jpg,0,Anger,0,Anger,0.37059784,0.37059784,True,False,0.37059784,0.21644501,0.07059422,0.05878401,0.07197097,0.15739366,0.05421432
1700479005401-2-1-1-4-0-0,1700479005401-2-1-1-4-0-0-01,1700479005401-2-1-1-4-0,1700479005401,2,1,1,4,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700479005401-2-1-1-4-0-0,1,1700479004694,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700479005401-2-1-1-4-0-0/1700479004694-2-1-1-4-0-0.jpg,0,Anger,5,Sadness,0.091843136,0.7942315,False,True,0.091843136,0.048623167,0.010593031,0.011800571,0.029650997,0.7942315,0.013257595
1700479005401-2-1-1-4-0-1,1700479005401-2-1-1-4-0-1-01,1700479005401-2-1-1-4-0,1700479005401,2,1,1,4,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700479005401-2-1-1-4-0-1,1,1700479004694,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700479005401-2-1-1-4-0-1/1700479004694-2-1-1-4-0-1.jpg,0,Anger,0,Anger,0.51300836,0.51300836,True,True,0.51300836,0.13400447,0.03372337,0.037617203,0.03371446,0.21959113,0.02834101
