setting,class,unimodal_group,n_view_rows,fusion_correct,fusion_wrong,fusion_accuracy
Static,Anger,both_correct,33,33,0,1.0
Static,Anger,image_only_correct,22,16,6,0.7272727272727273
Static,Anger,fea_only_correct,19,15,4,0.7894736842105263
Static,Anger,both_wrong,34,3,31,0.08823529411764706
Static,Disgust,both_correct,49,49,0,1.0
Static,Disgust,image_only_correct,25,19,6,0.76
Static,Disgust,fea_only_correct,17,9,8,0.5294117647058824
Static,Disgust,both_wrong,17,0,17,0.0
Static,Fear,both_correct,40,40,0,1.0
Static,Fear,image_only_correct,28,27,1,0.9642857142857143
Static,Fear,fea_only_correct,22,12,10,0.5454545454545454
Static,Fear,both_wrong,18,9,9,0.5
Static,Happiness,both_correct,92,92,0,1.0
Static,Happiness,image_only_correct,1,1,0,1.0
Static,Happiness,fea_only_correct,14,13,1,0.9285714285714286
Static,Happiness,both_wrong,1,0,1,0.0
Static,Neutral,both_correct,70,70,0,1.0
Static,Neutral,image_only_correct,11,10,1,0.9090909090909091
Static,Neutral,fea_only_correct,20,16,4,0.8
Static,Neutral,both_wrong,7,4,3,0.5714285714285714
Static,Sadness,both_correct,50,50,0,1.0
Static,Sadness,image_only_correct,17,12,5,0.7058823529411765
Static,Sadness,fea_only_correct,22,18,4,0.8181818181818182
Static,Sadness,both_wrong,19,2,17,0.10526315789473684
Static,Surprise,both_correct,80,77,3,0.9625
Static,Surprise,image_only_correct,10,10,0,1.0
Static,Surprise,fea_only_correct,14,1,13,0.07142857142857142
Static,Surprise,both_wrong,4,0,4,0.0
Dynamic,Anger,both_correct,40,40,0,1.0
Dynamic,Anger,image_only_correct,10,8,2,0.8
Dynamic,Anger,fea_only_correct,16,12,4,0.75
Dynamic,Anger,both_wrong,42,0,42,0.0
Dynamic,Disgust,both_correct,51,51,0,1.0
Dynamic,Disgust,image_only_correct,23,15,8,0.6521739130434783
Dynamic,Disgust,fea_only_correct,9,6,3,0.6666666666666666
Dynamic,Disgust,both_wrong,25,0,25,0.0
Dynamic,Fear,both_correct,47,47,0,1.0
Dynamic,Fear,image_only_correct,24,20,4,0.8333333333333334
Dynamic,Fear,fea_only_correct,19,17,2,0.8947368421052632
Dynamic,Fear,both_wrong,18,4,14,0.2222222222222222
Dynamic,Happiness,both_correct,99,99,0,1.0
Dynamic,Happiness,image_only_correct,0,0,0,
Dynamic,Happiness,fea_only_correct,9,9,0,1.0
Dynamic,Happiness,both_wrong,0,0,0,
Dynamic,Neutral,both_correct,75,75,0,1.0
Dynamic,Neutral,image_only_correct,6,4,2,0.6666666666666666
Dynamic,Neutral,fea_only_correct,27,23,4,0.8518518518518519
Dynamic,Neutral,both_wrong,0,0,0,
Dynamic,Sadness,both_correct,79,79,0,1.0
Dynamic,Sadness,image_only_correct,9,3,6,0.3333333333333333
Dynamic,Sadness,fea_only_correct,17,17,0,1.0
Dynamic,Sadness,both_wrong,3,1,2,0.3333333333333333
Dynamic,Surprise,both_correct,85,83,2,0.9764705882352941
Dynamic,Surprise,image_only_correct,2,2,0,1.0
Dynamic,Surprise,fea_only_correct,19,2,17,0.10526315789473684
Dynamic,Surprise,both_wrong,2,0,2,0.0
